iv,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,Coefficient,lci,uci,margin_value,outcome
Contrast 1,1.68852162441044e-5,2.1991238139647878e-4,-0.012259822106827068,1376037,2.4017464088940405e-4,0.08436469153400618,40.21233945304158,562.0028856281308,561.7523142833421,-0.042700054465883534,0.018180410252229398,0.015497568870290723,"-0.01 	(-0.04, 0.02)",-0.042700054465883534,0.018180410252229398,exposed,bmi
Contrast 2,1.68852162441044e-5,2.1991238139647878e-4,-0.012259822106827068,1376037,2.4017464088940405e-4,0.08436469153400618,40.21233945304158,562.0028856281308,561.7523142833421,-0.042700054465883534,0.018180410252229398,0.015497568870290723,"-0.01 	(-0.04, 0.02)",-0.042700054465883534,0.018180410252229398,exposed,bmi
Contrast 3,0,0,0,1376037,0,NA,NA,NA,NA,NA,NA,0,"0.00 	(NaN, NaN)",NA,NA,exposed,bmi
Contrast 1,1.68852162441044e-5,2.1991238139647878e-4,-0.012259822106827068,1376037,2.4017464088940405e-4,0.08436469153400618,40.21233945304158,562.0028856281308,561.7523142833421,-0.042700054465883534,0.018180410252229398,0.015497568870290723,"-0.01 	(-0.04, 0.02)",-0.042700054465883534,0.018180410252229398,unexposed,bmi
Contrast 2,3.834315476909298e-6,4.69492088898084e-5,-0.04828932936359647,1376037,5.1550387462099554e-5,0.08925594547032256,36.98457144016359,502.0947517435968,501.89367049407383,-0.06239559964319749,-0.03418305908399545,0.007179859849753305,"-0.05 	(-0.06, -0.03)",-0.06239559964319749,-0.03418305908399545,unexposed,bmi
Contrast 3,3.0834643921362544e-5,2.6683232257162387e-4,-0.0360295072567694,1376037,3.038338952772589e-4,0.12178224115472647,23.858839918168552,269.70690610815035,269.64672564542775,-0.07034730534089165,-0.0017117091726471592,0.017430831743702274,"-0.04 	(-0.07, -0.00)",-0.07034730534089165,-0.0017117091726471592,unexposed,bmi
Contrast 1,1.68852162441044e-5,2.1991238139647878e-4,-0.012259822106827068,1376037,2.4017464088940405e-4,0.08436469153400618,40.21233945304158,562.0028856281308,561.7523142833421,-0.042700054465883534,0.018180410252229398,0.015497568870290723,"-0.01 	(-0.04, 0.02)",-0.042700054465883534,0.018180410252229398,historical,bmi
Contrast 2,3.4255635800580458e-6,9.118092618696415e-5,-0.0037760869328738,1376037,9.52916024830338e-5,0.04313786513141638,118.21334596386858,2149.525961059434,2146.0224933831587,-0.022919528509221486,0.015367354643473885,0.009761741775064213,"-0.00 	(-0.02, 0.02)",-0.022919528509221486,0.015367354643473885,historical,bmi
Contrast 3,5.750235007341631e-6,3.1108629036441797e-4,0.00848373517395327,1376037,3.1798657237322794e-4,0.021699916311909366,401.3311381392695,8494.61838843634,8441.351870686109,-0.02647167212634524,0.04343914247425178,0.01783217800419309,"0.01 	(-0.03, 0.04)",-0.02647167212634524,0.04343914247425178,historical,bmi
Contrast 1,3.782674737694912e-4,0.003392668459470863,0.30859393096075,1850160,0.0038465894279942525,0.11800608747580316,24.896663408600737,287.2441339924364,287.19358046191974,0.18652089997995477,0.4306669619415452,0.062020878968249496,"0.31 	(0.19, 0.43)",0.18652089997995477,0.4306669619415452,exposed,sbp
