term,estimate,std.error,statistic,p.value,model,outcome
(Intercept),2.703022893497868,0.12025998315840894,505.1928212567231,0,PCRAB401,BMI
COHORTunexposed,0.19979965913813344,0.028582731204840797,48.86321468788373,2.744471316873387e-12,PCRAB401,BMI
COHORTexposed,0.26104194660716395,0.03593704822162613,52.76376700860238,3.7614356074300304e-13,PCRAB401,BMI
t,3.326706977515792e-4,7.818491228064603e-5,18.10436061880669,2.091219689992485e-5,PCRAB401,BMI
lb_bmi,0.913738332977863,0.0013744374040270996,441970.9840801112,0,PCRAB401,BMI
age,-0.010406359121973357,4.81230564900808e-4,467.6179911062239,0,PCRAB401,BMI
antihypertensives,0.17584263737172082,0.01538521171971896,130.62954785857303,0,PCRAB401,BMI
nhblack,0.1435752116127309,0.019245249447848167,55.65598085136751,8.637535131583718e-14,PCRAB401,BMI
hispanic,0.08937118918968827,0.02074480405198153,18.5599328056038,1.6464504210333963e-5,PCRAB401,BMI
smoking,-0.003355752836594025,0.022635882044833612,0.021977844059846555,0.8821460548445562,PCRAB401,BMI
siteSource2,-0.09538418175815026,0.02539705401551522,14.105420311554258,1.7284499119785135e-4,PCRAB401,BMI
siteSource3,0.23657521453271677,0.03529669339576791,44.92317472020378,2.0491830454716364e-11,PCRAB401,BMI
siteSource4,0.3470826525911901,0.041758992307500555,69.08214208438628,1.1102230246251565e-16,PCRAB401,BMI
siteSource5,-0.06505856844923308,0.03570255486630998,3.3205529899529176,0.06841881190622989,PCRAB401,BMI
siteSource6,-0.0747134882447965,0.12058769473833501,0.3838769547478631,0.5355356244280822,PCRAB401,BMI
siteSource7,0.2194668830579872,0.05407295243463124,16.473194460410184,4.934278773882639e-5,PCRAB401,BMI
hospitalization,-0.6568134803487318,0.018119520810473983,1313.9858818310445,0,PCRAB401,BMI
hba1c,0.02039869418792625,0.018275975645414378,1.2457864218155024,0.26435877644359984,PCRAB401,BMI
serum_creatinine,-0.048524721434070335,0.007576000373324274,41.024767366034645,1.503123181478827e-10,PCRAB401,BMI
hdl,-7.939404421637781e-4,7.329759619172563e-4,1.1732657298201026,0.2787312356736409,PCRAB401,BMI
ldl,4.960585782541184e-4,3.318799354440903e-4,2.234106821114351,0.1349946119736729,PCRAB401,BMI
COHORTunexposed:t,-5.993411439725548e-4,9.951945464593464e-5,36.268718437530666,1.719009934397775e-9,PCRAB401,BMI
COHORTexposed:t,-2.4022150860340924e-4,1.5973597541598354e-4,2.2616130626695585,0.13261586302002448,PCRAB401,BMI
