term,estimate,std.error,statistic,p.value,model,outcome,modifier
(Intercept),2.8404991126571524,0.14341644436537865,392.27570688065475,0,PCRAB402,BMI,sex
COHORTunexposed,0.18160699940922637,0.03626513874041817,25.07762934968503,5.506801967758435e-7,PCRAB402,BMI,sex
COHORTexposed,0.3469369746516653,0.04492789447714235,59.63058115044135,1.1435297153639112e-14,PCRAB402,BMI,sex
sex_categoryMale,0.035558268969329405,0.05236244504430871,0.46114912216449994,0.4970874185848212,PCRAB402,BMI,sex
t,5.247102073331759e-4,9.816256379348575e-5,28.572434122592977,9.025800240536341e-8,PCRAB402,BMI,sex
lb_bmi,0.9149114578034085,0.0014520064409386992,397027.9188391924,0,PCRAB402,BMI,sex
age,-0.011137214212343606,5.313705193599277e-4,439.2969965432727,0,PCRAB402,BMI,sex
antihypertensives,0.14415480244825649,0.01717278530137089,70.46553441130808,0,PCRAB402,BMI,sex
nhblack,0.18542912186962784,0.02048028566073974,81.97546020351425,0,PCRAB402,BMI,sex
hispanic,0.0995948799620156,0.023768186998384656,17.558277707623713,2.786351632610984e-5,PCRAB402,BMI,sex
smoking,0.012342877590827755,0.025481296833865012,0.2346333762141484,0.6281093307411239,PCRAB402,BMI,sex
siteSource2,-0.10841722468939595,0.028299646128466527,14.676907656715418,1.2760003713085943e-4,PCRAB402,BMI,sex
siteSource3,0.25255073940873024,0.03759523633383452,45.12649991083219,1.8470891482991192e-11,PCRAB402,BMI,sex
siteSource4,0.26317755924176706,0.04463378488290621,34.767244984443145,3.7157269483500954e-9,PCRAB402,BMI,sex
siteSource5,-0.3182672098510876,0.03982348800733768,63.87121859327382,1.3322676295501878e-15,PCRAB402,BMI,sex
siteSource6,-0.15596771112725732,0.11280408480386182,1.911700020599904,0.16677453985344948,PCRAB402,BMI,sex
siteSource7,0.18325701086594615,0.05598001665594534,10.716553839691377,0.00106181250415871,PCRAB402,BMI,sex
hospitalization,-0.646923593757288,0.02094725526761691,953.7877288281409,0,PCRAB402,BMI,sex
hba1c,0.020195721594410274,0.021954788799804236,0.8461750641788617,0.35763665038034465,PCRAB402,BMI,sex
serum_creatinine,-0.04261585103256434,0.009011349486220238,22.364678782355863,2.2548301031877216e-6,PCRAB402,BMI,sex
hdl,-0.0022161743979203304,9.791615396666986e-4,5.122702956877226,0.02361480633493218,PCRAB402,BMI,sex
ldl,-1.270670956128801e-4,3.6594347429430655e-4,0.12056970343065138,0.7284174198148627,PCRAB402,BMI,sex
COHORTunexposed:sex_categoryMale,-0.019896422577427082,0.05619638838310295,0.12535255255097102,0.723300195186066,PCRAB402,BMI,sex
COHORTexposed:sex_categoryMale,-0.26878769828424626,0.07320602669560779,13.481093004399604,2.409793862665488e-4,PCRAB402,BMI,sex
COHORTunexposed:t,-6.795450412589106e-4,1.257665908420143e-4,29.194827808933585,6.545369723998107e-8,PCRAB402,BMI,sex
COHORTexposed:t,-5.404835901668913e-4,1.9059843594445696e-4,8.041301770535826,0.00457226673601363,PCRAB402,BMI,sex
sex_categoryMale:t,-4.863911460608165e-4,1.616920054824122e-4,9.048867439841196,0.0026285759951171217,PCRAB402,BMI,sex
COHORTunexposed:sex_categoryMale:t,2.2173339062642164e-4,2.043548335326429e-4,1.1773141595910013,0.2779034582872504,PCRAB402,BMI,sex
COHORTexposed:sex_categoryMale:t,7.785366918178496e-4,3.357293246928386e-4,5.377490067509393,0.020398203993257313,PCRAB402,BMI,sex
(Intercept),2.764901495945276,0.1433609443923775,371.9611831450695,0,PCRAB402,BMI,age
COHORTunexposed,-0.01916208852784752,0.05288290274274525,0.13129709383003227,0.7170909404689474,PCRAB402,BMI,age
COHORTexposed,0.31669793907247895,0.06446938704613386,24.131448543405867,8.997879451522195e-7,PCRAB402,BMI,age
age_category40 to 64,0.20855047844316735,0.06593257354406228,10.005120539131534,0.0015610557353467058,PCRAB402,BMI,age
age_category65 plus,0.22055478321476132,0.07906679907924387,7.7811654027100605,0.005279372919049119,PCRAB402,BMI,age
t,9.683760273511395e-4,1.49903212154301e-4,41.73171004908105,1.0469713984662121e-10,PCRAB402,BMI,age
lb_bmi,0.9153675901364238,0.001443068400829706,402362.25108147017,0,PCRAB402,BMI,age
age,-0.012542321770514427,0.0010639672425769634,138.96305795138582,0,PCRAB402,BMI,age
antihypertensives,0.11526114642051978,0.016688877156290017,47.69925916975643,4.968803146709888e-12,PCRAB402,BMI,age
nhblack,0.16336690895330017,0.02003358320751686,66.49835704257178,3.3306690738754696e-16,PCRAB402,BMI,age
hispanic,0.09923067148438237,0.022673550212061112,19.153705531420318,1.206031432865462e-5,PCRAB402,BMI,age
smoking,0.023491637172051546,0.02458168388446333,0.9132786607441049,0.3392459875828667,PCRAB402,BMI,age
siteSource2,-0.1021075653943615,0.027473350515662118,13.813145556463736,2.0191851853601506e-4,PCRAB402,BMI,age
siteSource3,0.22426722259442802,0.036550030329409955,37.6492323794805,8.467999634831358e-10,PCRAB402,BMI,age
siteSource4,0.2625498320339707,0.0429456865846182,37.375274322728075,9.744978157755213e-10,PCRAB402,BMI,age
siteSource5,-0.27734335740642396,0.038909366494566985,50.80742883809208,1.0188516696985062e-12,PCRAB402,BMI,age
siteSource6,-0.1339044383465888,0.10995463508601418,1.48307413665512,0.22329416383964207,PCRAB402,BMI,age
siteSource7,0.1873454935515492,0.05495420823016659,11.622099570177976,6.51727908389188e-4,PCRAB402,BMI,age
hospitalization,-0.5723737906058646,0.020513643595121152,778.5273357984221,0,PCRAB402,BMI,age
hba1c,0.00090993225564589325,0.021201986633067525,0.001841895589529962,0.9657674492254286,PCRAB402,BMI,age
serum_creatinine,-0.0567771337286916,0.008098544888632419,49.151065978175104,2.369882068364859e-12,PCRAB402,BMI,age
hdl,-1.9798073109425425e-4,8.262605857988786e-4,0.05741320273041874,0.8106322062247624,PCRAB402,BMI,age
ldl,-4.2909713582474175e-5,3.493967856535921e-4,0.015082503014164101,0.9022568882552172,PCRAB402,BMI,age
COHORTunexposed:age_category40 to 64,0.27116276640387266,0.06777072745733993,16.00942806308592,6.302783235256904e-5,PCRAB402,BMI,age
COHORTexposed:age_category40 to 64,-0.050407446954760515,0.08412723806995946,0.35901793230872087,0.5490521572234949,PCRAB402,BMI,age
COHORTunexposed:age_category65 plus,0.22780093078555094,0.07095142506849865,10.308340203635375,0.0013243033720780062,PCRAB402,BMI,age
COHORTexposed:age_category65 plus,-0.20049936582445796,0.09287187957399053,4.660768547284059,0.030859375552984125,PCRAB402,BMI,age
COHORTunexposed:t,-1.971698341816084e-4,1.9519425732655879e-4,1.0203445979278079,0.31243728350031963,PCRAB402,BMI,age
COHORTexposed:t,-4.3996938844294053e-4,2.8799832335551394e-4,2.333807347466502,0.12659191343576592,PCRAB402,BMI,age
age_category40 to 64:t,-7.362475270276536e-4,1.9207629967056937e-4,14.692650132457118,1.265388512545762e-4,PCRAB402,BMI,age
age_category65 plus:t,-0.001084555728764921,2.0091860246799616e-4,29.138248853250154,6.739326408045088e-8,PCRAB402,BMI,age
COHORTunexposed:age_category40 to 64:t,-3.669762074331062e-4,2.499283436901634e-4,2.155980328784839,0.14201577618830163,PCRAB402,BMI,age
COHORTexposed:age_category40 to 64:t,3.4241175379636445e-4,3.751931776412985e-4,0.8328896448971463,0.361438286777219,PCRAB402,BMI,age
COHORTunexposed:age_category65 plus:t,-5.559989690921027e-4,2.5394758181270655e-4,4.793578119591611,0.02856602577606626,PCRAB402,BMI,age
COHORTexposed:age_category65 plus:t,1.5603975524378685e-4,4.16963251727114e-4,0.14004737049250846,0.7082339241589574,PCRAB402,BMI,age
(Intercept),3.027428850192945,0.15408481246965777,386.03636916951683,0,PCRAB402,BMI,raceeth
COHORTunexposed,-0.06324389354677935,0.06528932227357775,0.9383241130787713,0.3327092098724831,PCRAB402,BMI,raceeth
COHORTexposed,0.013583884534721823,0.07660819656107119,0.031441082146554195,0.8592599217541681,PCRAB402,BMI,raceeth
raceeth_categoryNH Black,-0.21495645681240366,0.08026681053428375,7.171813331842864,0.0074057879118005765,PCRAB402,BMI,raceeth
raceeth_categoryNH White,-0.3087573128228674,0.06692139233665408,21.286515179341375,3.955039434178076e-6,PCRAB402,BMI,raceeth
t,-7.578567865741883e-5,1.7684101456158583e-4,0.1836573410500155,0.6682488381046627,PCRAB402,BMI,raceeth
lb_bmi,0.9158197856192071,0.0015327402066941656,357012.10684352316,0,PCRAB402,BMI,raceeth
age,-0.011446554020767772,5.302440604389499e-4,466.0128578542689,0,PCRAB402,BMI,raceeth
antihypertensives,0.13287045705683603,0.016890423524149163,61.883629700289255,3.6637359812630166e-15,PCRAB402,BMI,raceeth
smoking,0.034099878498775237,0.02495884995444339,1.8666226129731325,0.17186239759868127,PCRAB402,BMI,raceeth
siteSource2,-0.09288546846519534,0.027482987367274007,11.422671180116845,7.255330906887902e-4,PCRAB402,BMI,raceeth
siteSource3,0.1722165865203641,0.037246735457267824,21.37831761238185,3.7701079653729153e-6,PCRAB402,BMI,raceeth
siteSource4,0.2263187448392358,0.0445976907201277,25.7523169531252,3.881607478772864e-7,PCRAB402,BMI,raceeth
siteSource5,-0.26890561231668475,0.037480744923792456,51.47345325945378,7.257527911974648e-13,PCRAB402,BMI,raceeth
siteSource6,-0.17956875470441366,0.10247698461744141,3.0704983340256033,0.07972502915160584,PCRAB402,BMI,raceeth
siteSource7,0.20188963704242968,0.05747903748567838,12.336986242044391,4.4407135895030425e-4,PCRAB402,BMI,raceeth
hospitalization,-0.5961023263224632,0.020444601428583665,850.1280319351866,0,PCRAB402,BMI,raceeth
hba1c,0.027304443591560475,0.02183117001036536,1.5642733211067708,0.21104061922564432,PCRAB402,BMI,raceeth
serum_creatinine,-0.04825655611137607,0.009487901419046565,25.86856406221476,3.65472826002744e-7,PCRAB402,BMI,raceeth
hdl,-0.001618478916098908,8.045520524403639e-4,4.046744622735135,0.04425661139570203,PCRAB402,BMI,raceeth
ldl,2.3317099586507047e-4,3.514801020926822e-4,0.4400961480191167,0.5070760524601123,PCRAB402,BMI,raceeth
COHORTunexposed:raceeth_categoryNH Black,0.26856317075283587,0.08950840230504092,9.002545002729192,0.002696039031108932,PCRAB402,BMI,raceeth
COHORTexposed:raceeth_categoryNH Black,0.3398099941471877,0.10846905018798708,9.814329191777185,0.0017315742162120618,PCRAB402,BMI,raceeth
COHORTunexposed:raceeth_categoryNH White,0.30503668843424686,0.07462918263408207,16.706550382042607,4.363009266239448e-5,PCRAB402,BMI,raceeth
COHORTexposed:raceeth_categoryNH White,0.2836076869213818,0.0904746273754751,9.826127371573515,0.0017205021267818754,PCRAB402,BMI,raceeth
COHORTunexposed:t,3.429464257717078e-5,2.71406956927515e-4,0.015966532545559645,0.899447956721531,PCRAB402,BMI,raceeth
COHORTexposed:t,3.9285067801293793e-4,3.2155076956467125e-4,1.4926428584456692,0.22180685779377263,PCRAB402,BMI,raceeth
raceeth_categoryNH Black:t,6.744459752623997e-4,2.444308136795145e-4,7.61346626582461,0.0057934012530737045,PCRAB402,BMI,raceeth
raceeth_categoryNH White:t,4.374653751593165e-4,2.070506035780078e-4,4.4641046598342315,0.03461422577492668,PCRAB402,BMI,raceeth
COHORTunexposed:raceeth_categoryNH Black:t,-7.521430845242613e-4,3.432498056146716e-4,4.801537595283575,0.028434349235694434,PCRAB402,BMI,raceeth
COHORTexposed:raceeth_categoryNH Black:t,-7.074629354990074e-4,4.650927083698656e-4,2.3138133474152096,0.12822912490481075,PCRAB402,BMI,raceeth
COHORTunexposed:raceeth_categoryNH White:t,-8.130830451504591e-4,3.018452314161442e-4,7.256065118873217,0.007066194845795515,PCRAB402,BMI,raceeth
COHORTexposed:raceeth_categoryNH White:t,-9.064005013157817e-4,3.8953088020109394e-4,5.414476706230732,0.01997043840505819,PCRAB402,BMI,raceeth
(Intercept),2.7087458412035743,0.12461193858655477,472.51675231038695,0,PCRAB402,BMI,hospitalization
COHORTunexposed,0.22029617856593345,0.02754588866475228,63.95880657907788,1.2212453270876722e-15,PCRAB402,BMI,hospitalization
COHORTexposed,0.2668357467132731,0.03473577319100526,59.011150010913205,1.5654144647214707e-14,PCRAB402,BMI,hospitalization
hospitalization,-0.39370251826574604,0.10229189473773327,14.813372345538152,1.1869088718385878e-4,PCRAB402,BMI,hospitalization
t,3.4358897391143525e-4,7.435977561267193e-5,21.35021711324198,3.825774260168835e-6,PCRAB402,BMI,hospitalization
lb_bmi,0.921467320886392,0.0014614508538197894,397549.71382422245,0,PCRAB402,BMI,hospitalization
age,-0.01223276123192072,4.942650606833479e-4,612.5325539044989,0,PCRAB402,BMI,hospitalization
antihypertensives,0.11331361520578051,0.016084935691344972,49.6278583028122,1.858513343222512e-12,PCRAB402,BMI,hospitalization
nhblack,0.15254756391083407,0.01974969931773753,59.66086931930192,1.1324274851176597e-14,PCRAB402,BMI,hospitalization
hispanic,0.11171045195632832,0.02172303508219761,26.445185066079016,2.7112345080126943e-7,PCRAB402,BMI,hospitalization
smoking,0.02288470563990438,0.025330819335363186,0.8161917229875312,0.36629597457539265,PCRAB402,BMI,hospitalization
siteSource2,-0.07328956446368005,0.027576935452893414,7.063049931426627,0.007868991878728693,PCRAB402,BMI,hospitalization
siteSource3,0.21002309186288903,0.03828390842486744,30.095499646649646,4.112845530812592e-8,PCRAB402,BMI,hospitalization
siteSource4,0.22143310019855408,0.047213138787343005,21.99679124737571,2.7310667050084447e-6,PCRAB402,BMI,hospitalization
siteSource5,-0.4006383177569964,0.03970415697332142,101.81998034254302,0,PCRAB402,BMI,hospitalization
siteSource6,-0.2409455942244782,0.10185139910312427,5.596338568472876,0.01799805356895412,PCRAB402,BMI,hospitalization
siteSource7,0.1720853021384893,0.05711230835967266,9.078793327087224,0.002585906200807453,PCRAB402,BMI,hospitalization
hba1c,-0.006148432762046007,0.01890859292962229,0.10573296998008157,0.7450553903293746,PCRAB402,BMI,hospitalization
serum_creatinine,-0.05647333504841266,0.009321692685504215,36.70264046558895,1.3759294814619238e-9,PCRAB402,BMI,hospitalization
hdl,6.275736705167441e-6,8.066316735808635e-4,6.053114471637073e-5,0.9937923800009678,PCRAB402,BMI,hospitalization
ldl,3.828571010632111e-4,3.565118300439074e-4,1.1532554673423487,0.2828687018317685,PCRAB402,BMI,hospitalization
COHORTunexposed:hospitalization,-0.2745547902171611,0.10468462552885824,6.878476264092482,0.00872399068509333,PCRAB402,BMI,hospitalization
COHORTexposed:hospitalization,-0.2057233182291304,0.11769013225953354,3.0555327260949876,0.08046260460897847,PCRAB402,BMI,hospitalization
COHORTunexposed:t,-6.289519383205778e-4,1.0043999671084955e-4,39.21222989076004,3.801515768842023e-10,PCRAB402,BMI,hospitalization
COHORTexposed:t,-3.180156748177021e-4,1.469421484759274e-4,4.683864063313593,0.03044718806821156,PCRAB402,BMI,hospitalization
hospitalization:t,-3.8838157794660425e-5,3.564411799352901e-4,0.011872481416575688,0.9132334894879033,PCRAB402,BMI,hospitalization
COHORTunexposed:hospitalization:t,1.8675722011313807e-4,3.8168443100744303e-4,0.23941199795184467,0.6246311236943229,PCRAB402,BMI,hospitalization
COHORTexposed:hospitalization:t,3.6465197634622367e-4,5.031576289622333e-4,0.5252293898282479,0.4686194576920152,PCRAB402,BMI,hospitalization
