Estimate,SE,dfcom,LCI,UCI,term,margin_value,outcome
0.006754572193962994,0.006447595355136047,1376090,-0.005882714702103657,0.019391859090029644,Contrast 1,exposed,bmi
-0.008475169631508253,0.013248401596581262,1376090,-0.03444203676080752,0.01749169749779102,Contrast 2,exposed,bmi
-0.015229741825471247,0.014734131407248083,1376090,-0.04410863938367749,0.013649155732734996,Contrast 3,exposed,bmi
0.006754572193962994,0.006447595355136047,1376090,-0.005882714702103657,0.019391859090029644,Contrast 1,unexposed,bmi
-0.041937021130587726,0.005905268464108052,1376090,-0.05351134732023951,-0.030362694940935943,Contrast 2,unexposed,bmi
-0.04869159332455072,0.008743463604754377,1376090,-0.0658287819898693,-0.031554404659232135,Contrast 3,unexposed,bmi
0.006754572193962994,0.006447595355136047,1376090,-0.005882714702103657,0.019391859090029644,Contrast 1,historical,bmi
0.006754572193962994,0.006447595355136047,1376090,-0.005882714702103657,0.019391859090029644,Contrast 2,historical,bmi
0,0,1376090,0,0,Contrast 3,historical,bmi
0.414355191440107,0.03283719515219034,1850213,0.34999428894181395,0.4787160939384001,Contrast 1,exposed,sbp
0.4184025991946179,0.06441345107896049,1850213,0.2921522350798553,0.5446529633093805,Contrast 2,exposed,sbp
0.004047407754510879,0.07230987446674425,1850213,-0.13767994620030785,0.1457747617093296,Contrast 3,exposed,sbp
0.414355191440107,0.03283719515219034,1850213,0.34999428894181395,0.4787160939384001,Contrast 1,unexposed,sbp
0.14351590714572443,0.034453432276132644,1850213,0.07598717988450444,0.21104463440694443,Contrast 2,unexposed,sbp
-0.2708392842943826,0.047600525848095154,1850213,-0.3641363149566491,-0.1775422536321161,Contrast 3,unexposed,sbp
0.414355191440107,0.03283719515219034,1850213,0.34999428894181395,0.4787160939384001,Contrast 1,historical,sbp
0.414355191440107,0.03283719515219034,1850213,0.34999428894181395,0.4787160939384001,Contrast 2,historical,sbp
0,0,1850213,0,0,Contrast 3,historical,sbp
-1.2331528093659208,0.32085428701044516,117801,-1.8620272119063932,-0.6042784068254482,Contrast 1,exposed,ldl
-3.51418789782317,0.8006719517120161,117801,-5.0835049231787215,-1.9448708724676187,Contrast 2,exposed,ldl
-2.2810350884572492,0.8626165125657362,117801,-3.9717634530860924,-0.5903067238284063,Contrast 3,exposed,ldl
-1.2331528093659208,0.32085428701044516,117801,-1.8620272119063932,-0.6042784068254482,Contrast 1,unexposed,ldl
-2.759318141068662,0.3935938646115195,117801,-3.5307621157072404,-1.9878741664300836,Contrast 2,unexposed,ldl
-1.5261653317027415,0.5079312472156865,117801,-2.521710576245487,-0.530620087159996,Contrast 3,unexposed,ldl
-1.2331528093659208,0.32085428701044516,117801,-1.8620272119063932,-0.6042784068254482,Contrast 1,historical,ldl
-1.2331528093659208,0.32085428701044516,117801,-1.8620272119063932,-0.6042784068254482,Contrast 2,historical,ldl
0,0,117801,0,0,Contrast 3,historical,ldl
