iv,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,Coefficient,lci,uci,outcome,exposure,modifier,modifier_value
Contrast 1,4.488450568620401e-4,0.003190191901834926,-0.41658490133099435,1376048,0.003728805970069374,0.14444679410991912,19.089783883137287,191.70973922863396,191.678526074109,-0.5370283783420411,-0.29614142431994767,0.06106394984006008,"-0.42 	(-0.54, -0.30)",-0.5370283783420411,-0.29614142431994767,BMI,Historical,'t',100
Contrast 2,4.925304902950186e-4,0.0024172062994146917,-0.41383854686197485,1376048,0.003008242887768714,0.19647236290564568,13.219839738083792,103.62321314473043,103.6135026884077,-0.5226077553031543,-0.3050693384207954,0.054847451059905364,"-0.41 	(-0.52, -0.31)",-0.5226077553031543,-0.3050693384207954,BMI,Historical,'t',100
Contrast 3,4.276883088185645e-10,2.8615530438937405e-8,2.746354469019453e-5,1376048,2.912875640951968e-8,0.017619220105618654,590.6105560445511,12885.0654650777,12763.407525654344,-3.070778478962574e-4,3.620049372766464e-4,1.7067148680878033e-4,"0.00 	(-0.00, 0.00)",-3.070778478962574e-4,3.620049372766464e-4,BMI,Historical,'t',100
Contrast 1,1.7296131024983238e-4,0.0018886987668075455,-0.514865639300203,1376048,0.0020962523391073445,0.0990117308053582,31.808757813680014,408.02491833415985,407.89067943584143,-0.6048692657779063,-0.42486201282249975,0.04578484835736976,"-0.51 	(-0.60, -0.42)",-0.6048692657779063,-0.42486201282249975,BMI,Unexposed,'t',100
Contrast 2,1.9417519266309497e-4,0.0013501003366742663,-0.5513275455154619,1376048,0.0015831105678699802,0.14718506459673317,18.642248736663795,184.64285458327666,184.6138070716466,-0.6298257298784706,-0.4728293611524532,0.03978832200369827,"-0.55 	(-0.63, -0.47)",-0.6298257298784706,-0.4728293611524532,BMI,Unexposed,'t',100
Contrast 3,9.581092014538255e-11,2.6062927581800362e-8,-3.646190621525888e-4,1376048,2.6177900685974823e-8,0.0043919909985775715,8588.631139715197,207365.78906112481,180104.8297805516,-6.817349738189246e-4,-4.7503150486253025e-5,1.6179586115217787e-4,"-0.00 	(-0.00, -0.00)",-6.817349738189246e-4,-4.7503150486253025e-5,BMI,Unexposed,'t',100
Contrast 1,0.0014152032406773865,0.04659817120875637,-1.0258663628750586,1850171,0.04829641509756923,0.03516293880988978,168.36654464935592,3235.114539476988,3229.262225785527,-1.4567579871116634,-0.594974738638454,0.21976445367158273,"-1.03 	(-1.46, -0.59)",-1.4567579871116634,-0.594974738638454,SBP,Historical,'t',100
Contrast 2,0.001664831464357455,0.028187763191215583,-1.1518512991430143,1850171,0.030185560948444528,0.0661838870790272,58.42717564573565,913.178022271082,912.6956207661075,-1.4928272250096903,-0.8108753732763383,0.17373992330044505,"-1.15 	(-1.49, -0.81)",-1.4928272250096903,-0.8108753732763383,SBP,Historical,'t',100
Contrast 3,2.8666701300563566e-9,6.509319696861146e-7,-0.0012598493626795576,1850171,6.543719738421822e-7,0.005256955208318975,6035.685208778102,144740.95642170726,134187.80486361647,-0.0028453414101866858,3.256426848275704e-4,8.089326139068582e-4,"-0.00 	(-0.00, 0.00)",-0.0028453414101866858,3.256426848275704e-4,SBP,Historical,'t',100
Contrast 1,4.03133669456513e-4,0.025050719628238363,-0.5038425325112444,1850171,0.02553448003158618,0.01894537906193521,515.8952635150039,11144.31535724507,11076.309878432008,-0.8170692294492217,-0.19061583557326722,0.1597951189229076,"-0.50 	(-0.82, -0.19)",-0.8170692294492217,-0.19061583557326722,SBP,Unexposed,'t',100
Contrast 2,2.980170661911785e-4,0.013092255323659879,-0.6311857362225658,1850171,0.013449875803089293,0.026589128752198037,277.01415658503885,5657.854533422869,5640.135756414464,-0.8585384511674163,-0.40383302127771536,0.11597359959529278,"-0.63 	(-0.86, -0.40)",-0.8585384511674163,-0.40383302127771536,SBP,Unexposed,'t',100
Contrast 3,2.322384180834425e-9,5.394090844875318e-7,-0.001273432037113213,1850171,5.421959455045331e-7,0.005139951783313381,6307.81305368903,151405.58700671556,139898.10407249405,-0.002716642589583227,1.6977851535680062e-4,7.363395585628502e-4,"-0.00 	(-0.00, 0.00)",-0.002716642589583227,1.6977851535680062e-4,SBP,Unexposed,'t',100
Contrast 1,569.0467698298716,115.71207379188587,12.469910722528597,117759,798.5681975877317,0.8551005735747778,4.275719224423606,5.470482031010363,5.468728721546962,-58.33255039612686,83.27237184118405,28.258948982361883,"12.47 	(-58.33, 83.27)",-58.33255039612686,83.27237184118405,LDL,Historical,'t',100
Contrast 2,239.83745052684702,50.15194974073252,8.644207483901013,117759,337.9568903729489,0.8516025233709903,4.283669244250737,5.5155155340893485,5.513775242898721,-37.31424911045647,54.602664078258485,18.383603846170885,"8.64 	(-37.31, 54.60)",-37.31424911045647,54.602664078258485,LDL,Historical,'t',100
Contrast 3,0.007006524254192721,0.0013784495685992154,-0.03825703238627584,117759,0.00978627867363048,0.8591446642211914,4.2666179822697705,5.419102890542495,5.417332973583646,-0.2867504407530145,0.21023637598046271,0.09892562192693297,"-0.04 	(-0.29, 0.21)",-0.2867504407530145,0.21023637598046271,LDL,Historical,'t',100
Contrast 1,3.599155945251059,6.656984173809153,-7.7317218252192585,117759,10.975971308110424,0.3934947544104695,6.846239578152152,25.83343142392071,25.82409058594935,-14.543829266287084,-0.9196143841514317,3.313000348341428,"-7.73 	(-14.54, -0.92)",-14.543829266287084,-0.9196143841514317,LDL,Unexposed,'t',100
Contrast 2,1.3534044476270068,1.938727443588975,-6.695862663225239,117759,3.562812780741383,0.4558435812095783,6.137976439055913,19.249892283849427,19.244111114786463,-10.643064066079532,-2.748661260370948,1.887541464641607,"-6.70 	(-10.64, -2.75)",-10.643064066079532,-2.748661260370948,LDL,Unexposed,'t',100
Contrast 3,5.412012444157098e-5,1.5727841338783883e-4,0.010358591619940198,117759,2.22222562717724e-4,0.2922482241930574,8.813176755250275,46.83345842381722,46.80715569665547,-0.019633503641834867,0.04035068688171525,0.014907131270560543,"0.01 	(-0.02, 0.04)",-0.019633503641834867,0.04035068688171525,LDL,Unexposed,'t',100
