term,estimate,std.error,statistic,p.value,model,outcome,modifier
(Intercept),2.8968006754133677,0.10962293280571762,698.2877004332365,0,PCRSC402,BMI,sex
COHORTunexposed,0.20079170626602602,0.03511612734448872,32.694771760235625,1.0782686521437768e-8,PCRSC402,BMI,sex
COHORTexposed,0.3647830807408553,0.045164434060534324,65.23433332542764,6.661338147750939e-16,PCRSC402,BMI,sex
sex_categoryMale,0.050182721052445346,0.051074177527270906,0.9653963427683605,0.3258310076389159,PCRSC402,BMI,sex
t,4.773607992320122e-4,9.387706260971165e-5,25.856784720871698,3.6770993239176875e-7,PCRSC402,BMI,sex
lb_bmi,0.9153603885401564,0.0013720236948765127,445103.4967304465,0,PCRSC402,BMI,sex
age,-0.01059171422256496,4.6750868108204764e-4,513.2785905144659,0,PCRSC402,BMI,sex
antihypertensives,0.11260977495489528,0.016672294056768785,45.620648871968044,1.4352075083934324e-11,PCRSC402,BMI,sex
nhblack,0.17583377637728012,0.020075575820832896,76.71293259873045,0,PCRSC402,BMI,sex
hispanic,0.10708469636684913,0.021876568435513832,23.960529999709323,9.833100681477802e-7,PCRSC402,BMI,sex
smoking,0.021977964129802886,0.02500425236410325,0.772586603749609,0.3794180533213046,PCRSC402,BMI,sex
siteSource2,-0.1101188151093204,0.02824172269749237,15.203398902202494,9.652952220950972e-5,PCRSC402,BMI,sex
siteSource3,0.25731837438154576,0.037500121788555794,47.08431340008765,6.799782958921696e-12,PCRSC402,BMI,sex
siteSource4,0.2819982707823846,0.04209451827122668,44.878858577740196,2.0960899682620493e-11,PCRSC402,BMI,sex
siteSource5,-0.3196711075429919,0.03899627483369465,67.19864661651518,2.220446049250313e-16,PCRSC402,BMI,sex
siteSource6,-0.18670476465323751,0.11455183308356201,2.6564810108296584,0.10312866446106983,PCRSC402,BMI,sex
siteSource7,0.1969507447571,0.05474124257384581,12.944520043172126,3.208593504345769e-4,PCRSC402,BMI,sex
hospitalization,-0.6434540731851786,0.020354782662865195,999.3144552785284,0,PCRSC402,BMI,sex
hba1c,9.261867011585524e-4,0.011804969028416129,0.006155557289084711,0.9374642476633552,PCRSC402,BMI,sex
serum_creatinine,-0.04430789201178002,0.00882617080731077,25.200985327802282,5.16557996710354e-7,PCRSC402,BMI,sex
hdl,-0.001707395430583893,9.215097648261742e-4,3.432956863764242,0.06390758565927046,PCRSC402,BMI,sex
ldl,-1.0147141887916041e-4,3.4553338257292215e-4,0.08623974089253691,0.7690131095963881,PCRSC402,BMI,sex
percent_test_results_reported_positive_last_7_days,-9.212084523003891e-4,5.671067740270907e-4,2.6386765548452518,0.10429038864787754,PCRSC402,BMI,sex
Cases_per_100k_7_day_count_sum,1.7284807294570653e-6,3.341249670283535e-6,0.2676154769235351,0.6049358342466433,PCRSC402,BMI,sex
COHORTunexposed:sex_categoryMale,-0.04333059758244558,0.054901562587661164,0.6229023170648347,0.42997080718246494,PCRSC402,BMI,sex
COHORTexposed:sex_categoryMale,-0.27545033565772975,0.0721049644274759,14.593392994319505,1.3338137024765384e-4,PCRSC402,BMI,sex
COHORTunexposed:t,-7.681545666684114e-4,1.2187303110241065e-4,39.72665587094269,2.9211133512063725e-10,PCRSC402,BMI,sex
