Estimate,SE,dfcom,LCI,UCI,term,exposure,modifier2,exposure_value,modifier2_value,outcome,modifier1,modifier1_value,modifier_var
-0.27286861659085054,0.035650668043770116,1230606,-0.34274392595663994,-0.20299330722506112,Contrast 3,COHORThistorical,t,1,0,bmi,NA,NA,NA
0,0,1230606,0,0,Contrast 3,COHORTexposed,t,1,0,bmi,NA,NA,NA
-0.06755691634467151,0.02785626922073899,1230606,-0.12215520401731993,-0.01295862867202309,Contrast 3,COHORTunexposed,t,1,0,bmi,NA,NA,NA
-0.27286861659085054,0.035650668043770116,1230606,-0.34274392595663994,-0.20299330722506112,Contrast 3,COHORThistorical,t,1,100,bmi,NA,NA,NA
0,0,1230606,0,0,Contrast 3,COHORTexposed,t,1,100,bmi,NA,NA,NA
-0.06755691634467151,0.02785626922073899,1230606,-0.12215520401731993,-0.01295862867202309,Contrast 3,COHORTunexposed,t,1,100,bmi,NA,NA,NA
-0.08933274508312555,0.057573840513259915,1230600,-0.202177472489115,0.023511982322863875,Contrast 3,COHORThistorical,t,1,0,bmi,sex_categoryMale,1,sex_category
0,0,1230600,0,0,Contrast 3,COHORTexposed,t,1,0,bmi,sex_categoryMale,1,sex_category
0.06812836360045488,0.04488672498317543,1230600,-0.01984961736656897,0.15610634456747874,Contrast 3,COHORTunexposed,t,1,0,bmi,sex_categoryMale,1,sex_category
-0.3647830807408553,0.045164434060534324,1230600,-0.45330537149950256,-0.27626078998220804,Contrast 3,COHORThistorical,t,1,0,bmi,sex_categoryFemale,1,sex_category
0,0,1230600,0,0,Contrast 3,COHORTexposed,t,1,0,bmi,sex_categoryFemale,1,sex_category
-0.16399137447482928,0.034516147841175446,1230600,-0.23164302424353317,-0.09633972470612541,Contrast 3,COHORTunexposed,t,1,0,bmi,sex_categoryFemale,1,sex_category
-0.08933274508312555,0.057573840513259915,1230600,-0.202177472489115,0.023511982322863875,Contrast 3,COHORThistorical,t,1,100,bmi,sex_categoryMale,1,sex_category
0,0,1230600,0,0,Contrast 3,COHORTexposed,t,1,100,bmi,sex_categoryMale,1,sex_category
0.06812836360045488,0.04488672498317543,1230600,-0.01984961736656897,0.15610634456747874,Contrast 3,COHORTunexposed,t,1,100,bmi,sex_categoryMale,1,sex_category
-0.3647830807408553,0.045164434060534324,1230600,-0.45330537149950256,-0.27626078998220804,Contrast 3,COHORThistorical,t,1,100,bmi,sex_categoryFemale,1,sex_category
0,0,1230600,0,0,Contrast 3,COHORTexposed,t,1,100,bmi,sex_categoryFemale,1,sex_category
