term,estimate,std.error,statistic,p.value,model,outcome
(Intercept),2.8011645878117926,0.09660071978406978,840.846130506927,0,PCRSE401,BMI
COHORTunexposed,0.20337467876291485,0.027416797062527972,55.02503469379506,1.1901590823981678e-13,PCRSE401,BMI
COHORTexposed,0.26891239935148703,0.0351951314061817,58.378976043667244,2.1649348980190553e-14,PCRSE401,BMI
t,2.9825396207074767e-4,7.486084248777496e-5,15.873146425876396,6.773299588413995e-5,PCRSE401,BMI
lb_bmi,0.9139066775374032,0.0013143444979940321,483487.53090725257,0,PCRSE401,BMI
age,-0.009980378512540942,4.3304830293604615e-4,531.1550843790842,0,PCRSE401,BMI
antihypertensives,0.1361588393203109,0.015048396687556394,81.86744169779017,0,PCRSE401,BMI
nhblack,0.14089184722004333,0.018892006193056952,55.61802561499868,8.804068585277491e-14,PCRSE401,BMI
hispanic,0.09963022177850862,0.01948463390749257,26.145544661911522,3.16626830310085e-7,PCRSE401,BMI
smoking,0.012218997847917332,0.022379010190583068,0.29811884400986705,0.5850641469654003,PCRSE401,BMI
siteSource2,-0.1084950290342063,0.025814145488598877,17.664614898036213,2.634828751724161e-5,PCRSE401,BMI
siteSource3,0.23259450130131956,0.035305679146545935,43.402000418534534,4.4573233992650785e-11,PCRSE401,BMI
siteSource4,0.3727029988995232,0.04025667174753637,85.71366033796015,0,PCRSE401,BMI
siteSource5,-0.06740467504874026,0.035511404794300816,3.6028346669631657,0.05768113882876913,PCRSE401,BMI
siteSource6,-0.11719015645983238,0.120305639046026,0.9488778294404294,0.3300051007306468,PCRSE401,BMI
siteSource7,0.21149408958817575,0.05335961378977501,15.709816602346825,7.383995327314707e-5,PCRSE401,BMI
hospitalization,-0.6479788798912187,0.01770900559166737,1338.8544038126054,0,PCRSE401,BMI
hba1c,0.006569180404334001,0.010589702395979375,0.3848175470919415,0.5350361770049183,PCRSE401,BMI
serum_creatinine,-0.05176848106077443,0.007457887825371102,48.183589635160544,3.881228671787085e-12,PCRSE401,BMI
hdl,-8.80751100981559e-4,7.116430313322341e-4,1.531729185982364,0.21585311017337783,PCRSE401,BMI
ldl,3.7651494064357333e-4,3.199231224285392e-4,1.385074612228583,0.2392386439564741,PCRSE401,BMI
OA,-0.010977554589523077,0.0022103994209259218,24.664351136721372,6.823473269745861e-7,PCRSE401,BMI
OT,0.00781775999967229,0.0015970609012328808,23.961925434274814,9.82597624377135e-7,PCRSE401,BMI
AV,0.0016718157781083869,9.428990730952896e-4,3.1437385577083146,0.07621891498547428,PCRSE401,BMI
TH,-0.010924075062509508,0.005099525550297408,4.588912820579019,0.032179419542651244,PCRSE401,BMI
IP,-0.018228358080297217,0.006299795872873773,8.372249216292705,0.003809937940515651,PCRSE401,BMI
ED,-0.03987811044335251,0.008429484379413136,22.380362840198632,2.2364908733862876e-6,PCRSE401,BMI
OS,-0.04149078540018135,0.025140393679205366,2.7236993271705097,0.09886863374198351,PCRSE401,BMI
IC,-0.025665994059626555,0.3761376825611776,0.0046561020444516555,0.9455980595011418,PCRSE401,BMI
NI,-0.050387158069823745,0.029057032229469107,3.007026239789714,0.08290425825555281,PCRSE401,BMI
IS,-0.24956795578250543,0.08713073777865343,8.204173961064908,0.004179413195879111,PCRSE401,BMI
UN,-0.018570914161837922,0.005832857497241443,10.136868966048354,0.001453328123435016,PCRSE401,BMI
EI,-0.0959423429196746,0.015104026833266676,40.34921989076729,2.123902165251934e-10,PCRSE401,BMI
COHORTunexposed:t,-6.526199036040642e-4,9.519405825231036e-5,47.00033419367699,7.097433751823701e-12,PCRSE401,BMI
COHORTexposed:t,-3.024229091006498e-4,1.5874281395374446e-4,3.6294533964838194,0.05676545711089387,PCRSE401,BMI
