iv,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,Coefficient,lci,uci,exposure,modifier2,exposure_value,modifier2_value,outcome,modifier1,modifier1_value,modifier_var
Contrast 1,0,0,0,1230607,0,NA,NA,NA,NA,NA,NA,0,"0.00 	(NaN, NaN)",NA,NA,COHORThistorical,t,1,0,bmi,NA,NA,NA
Contrast 1,0,0,0,1230607,0,NA,NA,NA,NA,NA,NA,0,"0.00 	(NaN, NaN)",NA,NA,COHORTexposed,t,1,0,bmi,NA,NA,NA
Contrast 1,0,0,0,1230607,0,NA,NA,NA,NA,NA,NA,0,"0.00 	(NaN, NaN)",NA,NA,COHORTunexposed,t,1,0,bmi,NA,NA,NA
Contrast 1,4.335810210879453e-11,5.5933116617705125e-5,0.029435115891458828,1230607,5.5933168647427655e-5,9.302123192505073e-7,184909421961.8272,4622701148233.23,1226708.3333817096,0.014776843003081238,0.044093388779836415,0.0074788480829221056,"0.03 	(0.01, 0.04)",0.014776843003081238,0.044093388779836415,COHORThistorical,t,1,100,bmi,NA,NA,NA
Contrast 1,3.636094282408135e-10,1.9597215530385253e-4,-7.889756371336328e-4,1230607,1.959725916351664e-4,2.226491522351631e-6,32276439950.050903,806896626299.2896,1226708.3333817096,-0.02822655280337512,0.02664860152910785,0.013999021095604022,"-0.00 	(-0.03, 0.03)",-0.02822655280337512,0.02664860152910785,COHORTexposed,t,1,100,bmi,NA,NA,NA
Contrast 1,2.0608076139052527e-10,3.437630383095454e-5,-0.03594653912462117,1230607,3.437655112786821e-5,7.193767424450934e-6,3091948062.626214,77294253206.60883,1226708.3333817096,-0.04743810583936149,-0.024454972409880846,0.005863151978916136,"-0.04 	(-0.05, -0.02)",-0.04743810583936149,-0.024454972409880846,COHORTunexposed,t,1,100,bmi,NA,NA,NA
Contrast 1,0,0,0,1230601,0,NA,NA,NA,NA,NA,NA,0,"0.00 	(NaN, NaN)",NA,NA,COHORThistorical,t,1,0,bmi,sex_categoryMale,1,sex_category
Contrast 1,0,0,0,1230601,0,NA,NA,NA,NA,NA,NA,0,"0.00 	(NaN, NaN)",NA,NA,COHORTexposed,t,1,0,bmi,sex_categoryMale,1,sex_category
Contrast 1,0,0,0,1230601,0,NA,NA,NA,NA,NA,NA,0,"0.00 	(NaN, NaN)",NA,NA,COHORTunexposed,t,1,0,bmi,sex_categoryMale,1,sex_category
Contrast 1,0,0,0,1230601,0,NA,NA,NA,NA,NA,NA,0,"0.00 	(NaN, NaN)",NA,NA,COHORThistorical,t,1,0,bmi,sex_categoryFemale,1,sex_category
Contrast 1,0,0,0,1230601,0,NA,NA,NA,NA,NA,NA,0,"0.00 	(NaN, NaN)",NA,NA,COHORTexposed,t,1,0,bmi,sex_categoryFemale,1,sex_category
